scenario_id,mode,route_id,rank_static,rank_airpath,rank_shift_airpath_minus_static,material_rank_change
od_30,motorbike,motorbike-1,1,1,0,False
od_30,motorbike,motorbike-2,2,2,0,False
od_30,motorbike,motorbike-3,3,3,0,False
od_30,motorbike,motorbike-4,4,4,0,False
od_30,motorbike,motorbike-5,5,5,0,False
od_30,motorbike,motorbike-6,7,7,0,False
od_30,motorbike,motorbike-7,6,6,0,False
od_30,motorbike,motorbike-8,8,8,0,False
od_30,walking,walking-1,1,1,0,False
od_30,walking,walking-2,5,5,0,False
od_30,walking,walking-3,6,6,0,False
od_30,walking,walking-4,8,8,0,False
od_30,walking,walking-5,7,7,0,False
od_30,walking,walking-6,2,2,0,False
od_30,walking,walking-7,3,3,0,False
od_30,walking,walking-8,4,4,0,False
