scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,feasible_route_count,feasible_alternative_count,fastest_route_id,predicted_optimal_route_id,oracle_optimal_route_id,predicted_optimal_travel_time_minutes,predicted_optimal_additional_time_minutes,predicted_optimal_predicted_exposure,predicted_optimal_oracle_exposure,predicted_exposure_reduction_vs_fastest,oracle_exposure_reduction_vs_fastest,oracle_exposure_fastest,oracle_exposure_oracle_optimal,decision_regret,oracle_optimal_agreement
od_07,motorbike,5.0,0.5742587218596645,13.70687690002884,6,5,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
od_07,motorbike,10.0,1.148517443719329,18.70687690002884,8,7,motorbike-1,motorbike-1,motorbike-1,8.70687690002884,0.0,231.8400543718206,316.707051850389,0.0,0.0,316.707051850389,316.707051850389,0.0,True
od_07,walking,0.0,0.0,36.12094162904502,1,0,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_07,walking,1.0,0.0276847710746249,37.12094162904502,4,3,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_07,walking,2.0,0.0553695421492498,38.12094162904502,4,3,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_07,walking,3.0,0.0830543132238747,39.12094162904502,4,3,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_07,walking,5.0,0.1384238553731245,41.12094162904502,4,3,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_07,walking,10.0,0.276847710746249,46.12094162904502,4,3,walking-1,walking-1,walking-1,36.12094162904502,0.0,963.5440247405447,1322.4744643795232,0.0,0.0,1322.4744643795232,1322.4744643795232,0.0,True
od_08,motorbike,0.0,0.0,16.700945583245588,1,0,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
od_08,motorbike,1.0,0.059876849188898705,17.700945583245588,2,1,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
