scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,oracle_exposure_index,predicted_exposure_index,exposure_difference,absolute_exposure_error,percentage_difference,absolute_percentage_error,mean_nearest_station_distance_km,max_nearest_station_distance_km,mean_effective_station_count,moderate_or_weak_segment_fraction,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest
od_05,motorbike,motorbike-1,6445.369478954613,15.468886749491073,243,538.4203047254263,389.6325130292415,-148.78779169618474,148.78779169618474,-27.63413459528812,27.63413459528812,2.1841290094151775,3.29570336549407,4.0543501486071145,0.0,1.0,0.0
od_05,motorbike,motorbike-2,6846.172276292444,16.430813463101863,284,573.0088295750519,417.312597976923,-155.69623159812892,155.69623159812892,-27.171698508309994,27.171698508309994,1.9204494652711708,3.182692187130468,3.808119248473809,0.14084507042253522,0.05189620758483034,0.9481037924151696
od_05,motorbike,motorbike-3,7383.760810561117,17.721025945346682,281,617.48712723413,446.3304967261367,-171.15663050799327,171.15663050799327,-27.718250787614647,27.718250787614647,2.2706286122263926,3.1986391431815377,4.15224928534997,0.0,0.048,0.952
od_05,motorbike,motorbike-4,8052.100580253528,19.325041392608465,300,675.2007618419783,492.75662220260676,-182.44413963937154,182.44413963937154,-27.02072479030617,27.02072479030617,1.8791433977949994,3.2233580042330097,3.6737009535146257,0.05,0.04222648752399232,0.9577735124760077
od_05,motorbike,motorbike-5,8792.392827452573,21.101742785886177,339,738.6416151895307,541.0706282974716,-197.57098689205918,197.57098689205918,-26.747881899581806,26.747881899581806,1.893706510780856,3.2112821139124756,3.6846554629656167,0.04424778761061947,0.008665511265164644,0.9913344887348353
od_05,motorbike,motorbike-6,10106.789805542736,24.25629553330257,404,845.0668646026587,613.0792937601326,-231.9875708425261,231.9875708425261,-27.45197812857142,27.45197812857142,1.8907149074984948,3.234175196571389,3.820711708896738,0.05198019801980198,0.0015479876160990713,0.9984520123839009
od_05,motorbike,motorbike-7,11003.54809635794,26.40851543125905,431,929.3772267616038,673.1724225141023,-256.20480424750144,256.20480424750144,-27.56736413052017,27.56736413052017,1.8745745819343391,3.6467941406265325,3.735517555896902,0.04640371229698376,0.004470938897168405,0.9955290611028316
od_05,motorbike,motorbike-8,12618.001043919243,30.28320250540618,497,1047.6035311655546,765.9779330602539,-281.6255981053007,281.6255981053007,-26.882841621578585,26.882841621578585,1.711478835084152,3.3522744220269067,3.5194712529960217,0.04024144869215292,0.0013531799729364006,0.9986468200270636
od_06,walking,walking-1,3537.365189594572,42.44838227513487,148,1399.9233710108867,1099.3491177612561,-300.5742532496306,300.5742532496306,-21.47076471997074,21.47076471997074,1.0245719250844612,1.6951302740504246,2.8756364216083825,0.1554054054054054,1.0,0.0
od_06,walking,walking-2,3644.4912539881616,43.733895047857935,180,1446.972852452242,1132.86498827982,-314.10786417242207,314.10786417242207,-21.7079307078976,21.7079307078976,1.175656861238043,1.6951302740504246,3.1408524312437067,0.22777777777777777,0.06493506493506493,0.935064935064935
