scenario_id,route_id,mode,pipeline_mode,segment_index,segment_id,eta,mapped_target_time,mapping_method,forecast_horizon_hours,latitude,longitude,segment_duration_minutes,pm25_estimate,exposure_contribution,contribution_fraction,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,effective_station_count,reliability_status
s6_to_s5,motorbike-1,motorbike,oracle_exposure,3,1277704606:0:r,2022-02-28T06:00:41.278449392,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7809155,106.66111355000001,0.21462153396426195,33.14626218818865,7.113901636010662,0.02796197692157927,0.18746480435941523,2.9596277418385912,6,0.8621173798390558,1.3366166792736407,supported
s6_to_s5,motorbike-1,motorbike,predicted_exposure,1,242307850:0:f,2022-02-28T06:00:12.255383185,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.780842700000001,106.66004285,0.4085127728482004,26.684584660429657,10.900993671934673,0.05032829045245165,0.07606002512771362,3.073606695230781,6,0.939752963555569,1.131146959543696,supported
s6_to_s5,motorbike-1,motorbike,predicted_exposure,6,520723335:0:r,2022-02-28T06:01:28.688800346,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.782001950000002,106.6639174,0.37082542546534353,26.006813586956767,9.64398771338112,0.0445248781318464,0.5159876186847594,2.683982416387248,6,0.6867344355868193,2.00758822668363,supported
s6_to_s5,motorbike-1,motorbike,predicted_exposure,5,520723335:1:r,2022-02-28T06:01:10.016443017,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7815737,106.66281325,0.25158648547291557,26.191527767627296,6.589434420223629,0.030422453163349066,0.38645693288067984,2.791135301146874,6,0.7481373633234457,1.7345184004293677,supported
s6_to_s5,motorbike-1,motorbike,predicted_exposure,4,520723335:2:r,2022-02-28T06:00:55.092971932,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.78122965,106.66193150000001,0.24586255070987126,26.34596521030389,6.477486207518845,0.029905604669147594,0.28303910455213144,2.8779933987546675,6,0.8039601192069143,1.5234580160577655,supported
s6_to_s5,motorbike-1,motorbike,predicted_exposure,3,1277704606:0:r,2022-02-28T06:00:41.278449392,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7809155,106.66111355000001,0.21462153396426195,26.49613240950188,5.686640581847489,0.0262543862986323,0.18746480435941523,2.9596277418385912,6,0.8621173798390558,1.3366166792736407,supported
s6_to_s5,motorbike-2,motorbike,oracle_exposure,1,242307850:0:f,2022-02-28T06:00:12.255383185,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.780842700000001,106.66004285,0.4085127728482004,33.258038435330874,13.58633350070904,0.05334998122589654,0.07606002512771362,3.073606695230781,6,0.939752963555569,1.131146959543696,supported
s6_to_s5,motorbike-2,motorbike,oracle_exposure,6,520723335:0:r,2022-02-28T06:01:28.688800346,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.782001950000002,106.6639174,0.37082542546534353,32.64738656717125,12.10648101410282,0.04753898723156997,0.5159876186847594,2.683982416387248,6,0.6867344355868193,2.00758822668363,supported
s6_to_s5,motorbike-2,motorbike,oracle_exposure,123,35112908:0:r,2022-02-28T06:08:10.481160892,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.776761950000001,106.68493825,0.4543766007842314,18.906534097356314,8.590686695767928,0.03373338170396449,0.31670068603270785,2.8137031892891295,6,0.7907221526323307,1.5693707122146274,supported
s6_to_s5,motorbike-2,motorbike,oracle_exposure,5,520723335:1:r,2022-02-28T06:01:10.016443017,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7815737,106.66281325,0.25158648547291557,32.87123887658913,8.26995946210173,0.03247396967099529,0.38645693288067984,2.791135301146874,6,0.7481373633234457,1.7345184004293677,supported
