perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,top1_agreement,top3_overlap_count,top3_overlap_fraction,selected_travel_time_difference_minutes,selected_predicted_exposure_difference,selected_oracle_exposure_difference,baseline_decision_regret,perturbed_decision_regret,decision_regret_difference
0.8,2022-02-27T06:00:00,od_10,walking,3.0,True,3,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,walking,5.0,True,3,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,walking,10.0,True,3,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,0.0,True,1,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,1.0,True,2,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,2.0,True,3,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,3.0,True,3,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,5.0,True,3,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,motorbike,10.0,True,3,1.0,0.0,-99.273285189354,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,0.0,True,1,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,1.0,True,3,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,2.0,True,3,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,3.0,True,3,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,5.0,True,3,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_11,walking,10.0,True,3,1.0,0.0,-391.621661017977,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,0.0,True,1,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,1.0,True,2,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,2.0,True,2,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,3.0,True,3,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,5.0,True,3,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,motorbike,10.0,True,3,1.0,0.0,-56.77589435400566,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,walking,0.0,True,1,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,walking,1.0,True,3,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,walking,2.0,True,3,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_12,walking,3.0,True,3,1.0,0.0,-292.2967935309225,0.0,0.0,0.0,0.0
